Year,Aruba,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Sri Lanka,Lower middle income,Low & middle income,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Vietnam,Vanuatu,World,Samoa,"Yemen, Rep.",South Africa,"Congo, Dem. Rep.",Zambia,Zimbabwe
1992,1558.475,1393.46,5196.139,2515.562,802968.5247,58136.618,121447.373,5518.835,289.693,267984.36,56658.817,56240.779,308.028,111968.178,898.415,630.724,17748.28,54458.617,10901.991,1793.163,15053.035,87417.613,355.699,403.37,6582.265,220705.729,979.089,5214.474,216.353,2779.586,216.353,441114.431,864352.237,42793.89,32474.952,2695982.067,4624.087,3795.345,1573.143,62049.307,62.339,106.343,3791.678,35881.595,31385.853,311.695,5181.471,138176.227,891975.748,311.695,58.672,54322.938,10923.993,80890.353,3222676.982,3178044.441,5164419.282,3765613.322,7646448.336,22280.692,81264.387,2580020.526,233921.597,23879.504,2966.603,3989167.952,216719.5066,47472.982,722.399,365819.92,597.721,4932.115,556280.233,15335.394,3982.362,234.688,1074.431,198.018,179.683,216.353,75499.863,117.344,480.377,6017.547,1045.095,11727382.76,33094.675,3076.613,60372.89693,16486.832,909.416,60388.156,9679056.67,10141174.39,459019.7041,338779.7582,202576.081,117532.4225,699087.881,31033.821,228927.143,61671.606,1818.832,42790.223,420535.227,7715.368,12266.115,1123847.492,269836.195,5540.837,11217.353,1529.139,22.002,139.346,284280.508,21085.25,968414.363,256.69,10359.275,286.026,37260.387,205.352,1047624.713,81655.74213,5185.138,2173342.859,9798506.019,6655751.159,22148.68,10571.961,14143.619,1085.432,26039.367,20971.573,1004.758,231.021,1070881.876,328698.879,55.005,9692731.398,10777.313,443.707,2042.519,4888.111,611481.6928,11019.335,1004.758,993.757,1708.822,656.393,75298.178,5352620.891,1151.438,1584.144,700.397,64289.844,2394.551,162224.413,32009.243,1331.121,121.011,25082.28,11452693.73,12079.098,91437.33722,72789.95,4246.386,20388.52,48752.765,106.343,2053.52,354745.58,178293.2997,48279.722,2530.23,1514.621812,11371455.01,429.039,26802.103,123262.538,2078668.286,487.711,797983.204,285534.622,4378.398,3479.983,50267.236,143.013,447.374,3318.635,11.001,461315.5786,461484.9663,128955.473,47.671,2112.192,44183.683,12478.801,51026.305,264.024,172.349,42918.568,88.008,3175234.414,4135245.377,836.076,109778.979,7220.323,33028.669,996089.212,611142.22,69.673,797983.204,461484.9663,20986.241,15023.699,153108.251,2324.878,788.405,630929.352,7518524.679,5170.47,4911103.09,111451.131,84.341,105972.633,69.673,21477.619,62.339,22403367.82,128.345,14209.625,307822.648,2816.256,2456.89,16901.203
1993,1602.479,1345.789,5775.525,2335.879,881796.4383,65980.331,118609.115,2555.899,304.361,277397.549,57102.524,48452.071,326.363,107652.119,1133.103,627.057,17407.249,68077.855,14642.331,1701.488,12603.479,76768.645,377.701,465.709,8060.066,230738.641,1114.768,4968.785,183.35,3197.624,223.687,445679.846,858470.369,40751.371,34627.481,2878694.009,5892.869,3898.021,1543.807,64022.153,62.339,110.01,3953.026,32181.592,29380.004,333.697,5449.162,132631.723,877645.112,311.695,62.339,57065.854,11763.736,82294.814,3457474.364,3322613.063,5451356.773,3458639.98,7277342.461,24205.867,93156.468,2526511.662,219253.597,19508.44,3028.942,3934448.978,222100.0396,50402.915,762.736,359861.045,663.727,4990.787,545711.939,9952.238,4547.08,238.355,1103.767,209.019,183.35,102.676,75712.549,121.011,498.712,5658.181,1045.095,11899631.99,34964.845,2849.259,62737.82013,16831.53,663.727,61909.961,9722341.35,10175781.75,450190.3927,337917.7139,218600.871,109360.7556,723697.118,31261.175,237533.592,66801.739,1976.513,45074.764,411917.777,8005.061,12101.1,1109887.223,223771.341,6347.577,8621.117,1536.473,22.002,143.013,321951.599,33274.358,1003305.868,256.69,11683.062,319.029,38947.207,227.354,1080414.161,76422.82292,5042.125,2129660.05,9835177.904,6688334.448,17495.257,10788.314,12016.759,1188.108,28217.565,15628.754,1030.427,198.018,1162507.623,330448.038,62.339,9729192.721,10340.94,454.708,2669.576,5342.819,642826.2752,9284.844,1078.098,1026.76,1774.828,693.063,91722.671,5479077.386,1389.793,1837.167,781.071,58268.63,2302.876,164802.314,35148.195,1466.8,113.677,26688.426,11564925.93,13457.89,96188.95399,78008.091,3942.025,23556.808,49482.498,102.676,1994.848,353253.111,179469.1892,46926.599,2867.594,1568.992852,11390101.7,425.372,30722.126,120699.305,1938445.873,495.045,827348.54,313818.193,3021.608,3593.66,54627.299,143.013,447.374,3795.345,11.001,471405.8105,471586.24,129925.8265,47.671,2156.196,42881.898,13164.53,51756.038,132.012,183.35,45665.151,99.009,3406559.08,3827807.163,865.412,124949.358,5170.47,28316.574,1030287.654,642469.401,84.341,827348.54,471586.24,16820.529,16501.5,159136.799,2596.236,781.071,539335.026,7598795.028,4466.406,5032931.831,116232.899,102.676,124391.974,73.34,23006.758,62.339,22381538.17,128.345,9255.508,321104.522,2592.569,2500.894,16208.14
1994,1595.145,1294.451,3890.687,1925.175,908715.9726,73130.981,123350.546,2706.246,311.695,278119.948,57054.853,41976.149,333.697,112334.878,1265.115,645.392,18969.391,54344.94,14789.011,1686.82,3230.627,65056.247,374.034,462.042,8936.479,242154.012,748.068,4693.76,212.686,3032.609,234.688,456955.871,805984.598,41323.423,38103.797,3058241.33,5251.144,3817.347,2148.862,67571.809,62.339,113.677,5269.479,35470.891,32247.598,366.7,5643.513,125734.096,865558.68,304.361,66.006,61000.545,12475.134,86500.863,3667884.174,3446271.181,5761867.766,3024472.973,6813482.618,13652.241,85312.755,2513952.187,233404.55,19042.731,2240.537,3881493.831,242112.5807,57223.535,817.741,338093.733,579.386,4389.399,546738.699,6083.553,4954.117,282.359,1228.445,209.019,183.35,36.67,77909.082,143.013,502.379,6838.955,1386.126,12060944.28,31283.177,3336.97,64668.67515,16549.171,300.694,58892.02,9638749.906,10080087.42,438009.9733,325713.367,221413.46,109602.3393,764730.848,32672.97,265611.811,75045.155,2009.516,48400.733,407378.031,8195.745,13633.906,1173315.322,200269.538,6556.596,6226.566,1606.146,22.002,157.681,344037.94,38906.87,1045083.999,275.025,12702.488,315.362,44132.345,264.024,1128686.48,78976.12,5526.169,2065091.375,9755370.038,6617190.589,17359.578,10190.593,10912.992,1283.45,29640.361,12090.099,1268.782,198.018,1219295.924,348133.979,66.006,9649788.717,10469.285,462.042,2438.555,6244.901,687045.5081,7946.389,1063.43,1199.109,1624.481,718.732,94010.879,5555893.702,1584.144,1980.18,773.737,44865.745,2541.231,165312.027,33905.082,1697.821,110.01,26681.092,11716054,15306.058,94649.32398,84839.712,4338.061,23230.445,54799.648,102.676,2181.865,333972.025,173151.5921,47659.999,3432.312,1623.363891,11417523.53,440.04,30223.414,115415.158,1698378.384,473.043,877469.096,309018.09,4147.377,3901.688,65367.942,139.346,513.38,4594.751,11.001,474207.4125,474406.4114,131825.162,47.671,2163.53,40421.341,13340.546,54894.99,484.044,201.685,46647.907,102.676,3613859.778,3374702.17,832.409,139158.983,2354.214,33534.715,1075329.415,686664.085,91.675,877469.096,474406.4114,19853.138,15940.449,156848.591,2405.552,707.731,441767.157,7584083.526,4066.703,5098475.789,108664.211,121.011,129965.814,80.674,26230.051,62.339,22760830.65,121.011,11191.684,337576.686,1639.149,2420.22,17645.604
1995,1609.813,1243.113,10975.331,2086.523,871977.819,70641.088,127963.632,3410.31,322.696,281860.288,59783.101,33333.03,322.696,112327.544,1327.454,627.057,22816.074,58004.606,14818.347,1683.153,3428.645,60773.191,377.701,447.374,9460.86,258347.484,828.742,4789.102,249.356,3047.277,234.688,467703.848,830260.138,39225.899,41745.128,3320285.15,7132.315,4363.73,1565.809,59614.419,66.006,121.011,4866.109,37836.106,25709.337,366.7,5383.156,123830.923,864110.215,304.361,80.674,57172.197,15885.444,95345.667,3996881.904,3492509.074,6127007.064,2933701.145,6763680.886,22841.743,95723.368,2557585.82,241611.296,17520.926,2563.233,3938603.689,244116.6734,52713.125,869.079,349116.735,682.062,4624.087,538117.582,2302.876,5276.813,275.025,1250.447,216.353,183.35,132.012,78781.828,150.347,502.379,7165.318,1463.133,12138954.4,31470.194,3879.686,70630.53782,17051.55,902.082,60369.821,10014596.68,10445826.1,427474.0476,305416.808,224941.114,119886.3537,811562.105,32969.997,273338.18,77901.748,1947.177,51099.645,430483.798,9178.501,13556.899,1183447.243,169540.078,7554.02,4528.745,1551.141,22.002,161.348,374771.067,54821.65,1050789.851,348.365,13578.901,330.03,46020.85,311.695,1139948.781,94016.66732,5903.87,2122074.545,10100489.95,6877520.258,16204.473,8316.756,9442.525,1243.113,30373.761,11191.684,1265.115,249.356,1192649.698,328291.842,66.006,9992313.773,10839.652,469.376,2126.86,6959.966,715190.6903,7920.72,1114.768,1092.766,1829.833,729.733,121132.011,5606160.938,1631.815,2075.522,810.407,33267.024,2779.586,168304.299,33439.373,2035.185,106.343,27132.133,11853379.48,15896.445,94861.68674,84484.013,2984.938,23883.171,60710.852,106.343,2060.854,344213.956,175934.8047,51869.715,3964.027,1701.036805,11522275.05,429.039,31789.223,127101.887,1631473.969,462.042,928543.072,236253.809,4297.724,3494.651,47109.949,143.013,399.703,5027.457,11.001,495798.9256,495993.9716,134536.8864,47.671,2181.865,42115.495,14403.976,55155.347,454.708,198.018,41664.454,102.676,3937998.153,3295086.889,953.42,161153.649,2449.556,34000.424,1092868.676,714793.642,95.342,928543.072,495993.9716,20967.906,15735.097,171974.966,3553.323,938.752,445943.87,7869644.365,4591.084,5138009.716,100079.764,128.345,133350.455,84.341,29090.311,66.006,23258105.18,132.012,11250.356,360363.424,2123.193,2170.864,15130.042
1996,1617.147,1177.107,10458.284,2016.85,864677.0786,41059.399,135000.605,2563.233,322.696,302164.467,63178.743,31257.508,319.029,118059.065,1265.115,707.731,24029.851,56559.808,15621.42,1668.485,4257.387,60164.469,308.028,454.708,10014.577,284782.887,850.744,4869.776,300.694,2757.584,234.688,479419.913,842947.958,39885.959,48499.742,3463089.131,8379.095,4602.085,1716.156,60527.502,66.006,143.013,4748.765,39211.231,26996.454,388.702,5936.873,125378.397,889614.2,311.695,73.34,72181.228,17326.575,97131.496,4202237.025,3679606.726,6418651.848,2868632.459,6810888.416,24191.199,102030.608,2623555.15,233305.541,18349.668,2860.26,4046534.5,239513.4862,61282.904,894.748,375280.78,601.388,4774.434,551436.126,4066.703,5610.51,282.359,1272.449,216.353,183.35,117.344,80241.294,154.014,517.047,6651.938,1518.138,12470398.69,29123.314,3960.36,74544.20066,17007.546,1034.094,62060.308,10284659.37,10753268.54,465034.1704,331725.6677,253290.691,130966.3038,882324.204,34906.173,276510.135,69500.651,2211.201,53098.16,425830.375,9702.882,14187.623,1204690.174,142627.965,9328.848,5694.851,1617.147,36.67,165.015,403780.704,50153.559,1094126.457,476.71,13758.584,341.031,44158.014,330.03,1192530.481,99175.88777,7062.642,2231910.017,10390911.19,7026952.287,15731.43,8437.767,9149.165,1415.462,31195.169,11521.714,1364.124,289.693,1190489.094,341482.041,66.006,10279290.64,11741.734,487.711,2247.871,7256.993,722147.1843,8041.731,1041.428,1114.768,1950.844,711.398,125374.73,5740571.156,1749.159,2196.533,902.082,38936.206,2874.928,175150.588,33366.033,2486.226,102.676,28642.937,12208502.76,15104.373,98263.2831,94447.252,4624.087,24363.548,62162.984,110.01,2189.199,355754.005,176780.6272,50586.265,3751.341,1743.756907,11797853.77,432.706,32298.936,126691.183,1612966.62,480.377,1012117.669,258750.854,4433.403,3740.34,55305.694,143.013,473.043,4569.082,,510876.9292,511108.9456,139362.3267,47.671,2203.867,41312.422,14954.026,55910.749,341.031,234.688,42804.891,106.343,4140318.764,3241881.747,1059.763,180255.052,2827.257,30670.788,1143341.264,721746.274,77.007,1012117.669,511108.9456,21781.98,16758.19,188205.108,3461.648,1059.763,412335.815,8046646.62,5441.828,5260696.535,102584.325,132.012,122804.163,95.342,34667.818,84.341,23796153.09,132.012,13399.218,365431.218,2317.544,1870.17,14994.363
1997,1650.15,1096.433,7381.671,1543.807,833719.5903,41646.119,138003.878,3234.294,337.364,305794.797,62658.029,29809.043,304.361,115341.818,1217.444,806.74,25063.945,51616.692,17319.241,1364.124,8393.763,59555.747,388.702,451.041,11026.669,300547.32,902.082,5060.46,392.369,2801.588,245.689,495294.356,821664.69,41466.436,56394.793,3469510.048,8173.743,3215.959,2343.213,64909.567,66.006,146.68,4987.12,37025.699,24649.574,407.037,5859.866,127413.582,862276.715,326.363,80.674,61557.929,18001.303,88195.017,4259621.519,3761762.996,6534112.013,2683010.306,6555757.495,18360.669,108202.169,2590478.81,252073.247,18107.646,3050.944,3954382.79,239930.2357,59933.448,737.067,351507.619,590.387,4796.436,527343.936,4437.07,6365.912,293.36,1279.783,216.353,201.685,293.36,83717.61,168.682,520.714,7598.024,1591.478,12566369.1,30703.791,4158.378,76752.09724,18962.057,1367.791,60890.535,10245950.15,10724297.07,474911.1606,339586.7785,278658.997,132902.3473,917685.085,36416.977,269770.189,68308.876,2104.858,55881.413,430487.465,10131.921,14418.644,1200788.486,129459.768,8265.418,5610.51,1540.14,29.336,172.349,430032.757,54920.659,1147532.645,608.722,15647.089,352.032,44975.755,311.695,1252094.293,98801.15349,7616.359,2249657.307,10358071.01,6962470.216,15339.061,7939.055,8456.102,1499.803,31862.563,7099.312,1650.15,330.03,1154877.646,359046.971,66.006,10247613,10634.3,524.381,2522.896,7499.015,713367.179,7708.034,1125.769,1118.435,1998.515,759.069,124821.013,5870980.677,1796.83,1829.833,909.416,40175.652,3142.619,167860.592,36101.615,2783.253,102.676,31022.82,12333334.78,15485.741,106958.7797,94711.276,5647.18,27407.158,71158.135,110.01,2577.901,349523.772,172134.1926,53072.491,4195.048,1592.294726,11832737.94,451.041,37495.075,114447.07,1526011.049,498.712,1049678.75,216239.323,5419.826,3263.63,69240.294,143.013,443.707,5474.831,,521539.2317,521878.8288,145598.1646,47.671,2214.868,41048.398,15859.775,52148.407,1202.776,341.031,40960.39,113.677,4196856.318,3052328.851,986.423,185916.9,2152.529,30623.117,1204572.83,712971.143,99.009,1049678.75,521878.8288,19229.748,16945.207,198535.047,2882.262,1107.434,341196.015,7997162.475,5555.505,5375235.28,102646.664,132.012,133988.513,99.009,45100.433,84.341,24155273.4,132.012,13358.881,377855.014,1899.506,2390.884,14407.643
1998,1712.489,1041.428,7308.331,1752.826,906417.1356,81495.408,139815.376,3362.639,333.697,316883.805,63662.787,31675.546,293.36,118374.427,1213.777,861.745,24048.186,48998.454,18404.673,1679.486,10593.963,58099.948,370.367,443.707,11455.708,312289.054,1140.437,5269.479,381.368,3344.304,249.356,506456.704,774829.766,41704.791,57641.573,3324344.519,6912.295,3208.625,777.404,65976.664,69.673,157.681,5317.15,37352.062,24499.227,432.706,6406.249,122543.806,855364.42,315.362,77.007,59552.08,18397.339,107080.067,4011950.018,3866269.353,6188717.088,2646925.536,6544726.488,22460.375,122243.112,2638564.181,261541.441,16310.816,3219.626,3961584.778,252758.9301,56988.847,704.064,377381.971,623.39,4979.786,531905.684,4961.451,6402.582,308.028,1243.113,234.688,172.349,168.682,87751.31,176.016,528.048,8753.129,1657.484,12567868.46,39101.221,4649.756,74437.12875,20216.171,1232.112,59163.378,10102844.57,10600366.08,494412.3974,359186.3653,210210.775,132499.4055,936221.77,38554.838,308988.754,72371.912,2101.191,57095.19,440153.677,9717.55,14543.322,1157829.581,127321.907,10036.579,5955.208,1950.844,33.003,183.35,364833.497,51745.037,1218437.757,685.729,16648.18,377.701,45474.467,308.028,1326214.094,96090.95405,7825.378,2231447.111,10254959.59,6769098.812,16197.139,7356.002,8063.733,1565.809,32038.579,6270.57,1738.158,300.694,1268308.957,374063.336,69.673,10145816.21,12625.481,762.736,2145.195,8078.401,800781.125,7708.034,1133.103,1122.102,2170.864,773.737,114186.713,5917819.268,1906.84,1811.498,957.087,40164.651,3421.311,168821.346,37777.434,2251.538,99.009,30029.063,12323338.54,16560.172,102313.3443,97663.211,5947.874,27806.861,69240.294,110.01,2863.927,325431.582,174168.6379,57817.589,4503.076,1551.656113,11811803.04,447.374,32401.612,102232.293,1495505.276,487.711,1069733.573,207680.545,4697.427,3428.645,57293.208,143.013,414.371,5812.195,,520462.2315,520894.6843,141286.5674,47.671,2229.536,40480.013,15192.381,52977.149,1213.777,432.706,50274.57,113.677,3952836.542,2993055.505,1166.106,164347.606,2497.227,32093.584,1277102.423,800179.737,88.008,1069733.573,520894.6843,19317.756,18001.303,200614.236,2555.899,1265.115,328636.54,7913572.55,5687.517,5410918.857,118477.103,161.348,167339.878,102.676,47513.319,80.674,24095857,132.012,12200.109,377726.669,1668.485,2313.877,14253.629
1999,1749.159,821.408,9156.499,2984.938,919955.0585,78374.791,146984.361,3014.274,348.365,325343.574,61869.624,28576.931,286.026,114260.053,1562.142,931.418,25236.294,43981.998,18019.638,1675.819,10377.61,56112.434,348.365,469.376,11243.022,320173.104,1210.11,3909.022,385.035,3160.954,264.024,515462.856,730385.726,40692.699,61502.924,3318055.614,6266.903,3080.28,821.408,56512.137,77.007,172.349,5522.502,41224.414,25331.636,432.706,6376.913,111975.512,822460.429,315.362,80.674,55148.013,18562.354,92118.707,4049157.84,4067469.124,6313288.525,2650723.145,6491973.84,21495.954,125393.065,2608854.147,282355.333,15159.378,3157.287,3886282.933,257727.0717,55423.038,803.073,368804.858,630.724,4807.437,530937.596,4345.395,6549.262,319.029,1272.449,256.69,194.351,473.043,86636.542,194.351,539.049,8929.145,1679.486,12736220.01,42716.883,4741.431,75068.48379,20120.829,1331.121,58796.678,10284114.58,10793899.58,506656.0612,366328.4944,241988.997,137596.9986,995766.516,40153.65,382512.104,72283.904,2068.188,55694.396,441998.178,9977.907,14568.991,1196516.431,116493.256,10172.258,4671.758,1895.839,29.336,183.35,399864.348,54022.244,1240403.087,927.751,16490.499,396.036,44620.056,319.029,1357149.761,104547.0791,8617.45,2341446.835,10456174.49,6778560.224,13692.578,7686.032,6780.283,1532.806,33153.347,4503.076,1917.841,421.705,1353735.389,382607.446,66.006,10337725.48,11723.399,795.739,2346.88,8969.482,866702.784,7554.02,1188.108,1147.771,2427.554,960.754,107934.478,6026362.468,1664.818,2057.187,953.42,44774.07,3626.663,163907.566,40681.698,3219.626,91.675,32639.967,12470399.9,20707.549,98699.3852,100384.125,5669.182,29358.002,69159.62,113.677,2445.889,315721.366,181408.4313,64425.523,4503.076,1714.210563,11955091.06,495.045,31407.855,89639.815,1531130.181,509.713,1134852.159,226459.252,5093.463,3700.003,50069.218,146.68,366.7,5698.518,,526872.2399,527382.6105,141839.1435,47.671,2225.869,39240.567,15276.722,51106.979,1239.446,509.713,52372.094,121.011,3984619.768,2986852.784,1536.473,176126.01,2519.229,37678.425,1306647.442,866053.725,110.01,1134852.159,527382.6105,22816.074,18331.333,196771.22,2537.564,1312.786,332549.229,7995283.47,6725.278,5510430.236,118319.422,165.015,173122.737,102.676,47693.002,84.341,24051853,139.346,13894.263,375236.776,1382.459,1807.831,15834.106
2000,2321.211,773.737,9541.534,3021.608,1045846.735,112562.232,142136.587,3465.315,344.698,329443.28,62133.648,29508.349,289.693,115118.131,1598.812,1041.428,27869.2,43530.957,18643.028,1668.485,13787.92,53787.556,414.371,465.709,10223.596,327983.814,1188.108,4712.095,396.036,3780.677,267.691,534483.585,716256.775,39049.883,58815.013,3405179.867,6791.284,3432.312,1048.762,57923.932,84.341,187.017,5474.831,42680.213,26083.371,469.376,6930.63,123849.258,829977.779,341.031,102.676,51330.666,19790.799,87930.993,4197358.36,4219065.881,6547424.871,2692624.173,6548091.315,20718.55,141326.18,2628567.939,294434.431,14858.684,3549.656,3903635.177,258513.5051,52427.099,865.412,362090.581,689.396,4693.76,541784.582,4536.079,6288.905,333.697,1279.783,275.025,146.68,454.708,91616.328,190.684,531.715,9915.568,1609.813,13159210.1,40439.676,5031.124,75950.904,19438.767,1367.791,55811.74,10471417.73,11035001.36,560877.4685,413975.7028,263418.945,143572.7005,1031853.463,41228.081,372479.192,72445.252,2163.53,60259.811,450564.29,10307.937,15507.743,1220527.947,118099.402,10417.947,4635.088,1976.513,33.003,183.35,447561.017,53560.202,1226263.135,938.752,15247.386,425.372,47113.616,330.03,1340308.58,110266.5084,10238.264,2465490.014,10723548.5,6962579.492,12163.439,8239.749,6351.244,1635.482,33905.082,3512.986,1873.837,451.041,1473341.928,382508.437,77.007,10601648.15,12064.43,821.408,2064.521,10087.917,872690.995,7506.349,1349.456,1173.44,2691.578,894.748,125734.096,6236778.595,1642.816,2233.203,696.73,79170.53,3762.342,165356.031,39673.273,3069.279,84.341,32980.998,12794273.01,21895.657,104505.2314,106449.343,5790.193,30296.754,73306.997,113.677,2665.909,299289.539,218520.2905,62731.369,3689.002,1788.09895,12261135.21,568.385,34730.157,90681.243,1557899.281,528.048,1181100.363,296935.325,5533.503,3938.358,49005.788,146.68,425.372,5742.522,517.047,566156.7527,566729.8216,149161.7166,47.671,2299.209,35885.262,14396.642,49350.486,1188.108,572.052,51040.973,176.016,4127679.121,3011219.013,1360.457,181270.811,2236.87,37539.079,1288723.146,871898.923,95.342,1181100.363,566729.8216,23894.172,19922.811,216151.315,2651.241,1430.13,320902.837,8134963.532,5306.149,5701829.301,121058.671,146.68,152422.522,102.676,53644.543,84.341,24667909,139.346,14638.664,378665.421,814.074,1822.499,13923.599
2001,2357.881,638.058,9732.218,3223.293,1040749.605,101414.552,133720.822,3542.322,344.698,324844.862,65727.308,28771.282,205.352,114527.744,1815.165,997.424,32456.617,46453.556,13927.266,1569.476,13362.548,52760.796,410.704,465.709,9823.893,337433.673,1221.111,4506.743,385.035,3850.35,245.689,527926.989,735537.861,42944.237,53340.182,3487566.356,7726.369,3421.311,766.403,56273.782,84.341,209.019,5760.857,44403.703,25452.647,473.043,6846.289,123720.913,853662.932,366.7,110.01,52918.477,19816.468,84293.329,4342386.716,4273085.225,6681614.28,2693601.664,6631834.432,23116.768,125451.737,2693290.489,297830.073,15570.082,4352.729,3988771.916,273221.2384,57051.186,1114.768,377389.305,762.736,4800.103,545862.286,3769.676,6919.629,344.698,1298.118,282.359,150.347,3094.948,93805.527,194.351,539.049,10626.966,1595.145,13116176.85,37957.117,5713.186,80736.339,20527.866,1569.476,56955.844,10670923.33,11258877.09,585330.7336,429026.6302,294907.474,152927.0811,1041152.975,44029.669,398657.905,85342.091,2101.191,63596.781,450347.937,10615.965,16002.788,1203377.388,131850.652,9369.185,3894.354,2251.538,25.669,183.35,450193.923,57641.573,1261378.327,872.746,16171.47,495.045,48100.039,363.033,1371419.172,121706.7717,10443.616,2516207.394,10951258.75,7115040.948,12885.838,8800.8,6985.635,1686.82,37715.095,3714.671,1741.825,462.042,1497261.769,395636.297,80.674,10825771.24,11998.424,828.742,2486.226,8723.793,899298.747,7884.05,1580.477,1272.449,2863.927,891.081,135620.328,6129797.537,2016.85,1888.505,656.393,83339.909,3964.027,168065.944,41910.143,3267.297,80.674,34447.798,12739216.67,20285.844,110891.283,108282.843,7007.637,27165.136,71051.792,179.683,3208.625,301284.387,240336.2631,62757.038,3821.014,2146.457623,12209217.83,678.395,41396.763,96632.784,1557506.912,531.715,1197088.483,297214.017,6369.579,4330.727,49541.17,154.014,568.385,5947.874,502.379,569143.5943,569779.7084,157623.2732,51.338,2471.558,39357.911,15163.045,51125.314,1144.104,634.391,48778.434,172.349,4270137.061,3015336.723,1162.439,194600.356,2291.875,38074.461,1320028.325,897949.291,88.008,1197088.483,569779.7084,25144.619,20817.559,194552.685,3127.951,1510.804,321775.583,8308347.782,5089.796,5601404.839,123200.199,179.683,172587.355,106.343,61139.891,88.008,25250962,143.013,16252.144,372042.819,836.076,1906.84,12596.145
